Time_s,Sensor0_Raw,Sensor1_Raw,DutyCycle,is_from_callback,Sensor1_Hist_0,Sensor1_Hist_1,Sensor1_Hist_2,Sensor1_Hist_3,Sensor1_Hist_4,Sensor1_Hist_5,Sensor1_Hist_6,Sensor1_Hist_7,Sensor1_Hist_8,Sensor1_Hist_9,DutyCycle_Hist_0,DutyCycle_Hist_1,DutyCycle_Hist_2,DutyCycle_Hist_3,DutyCycle_Hist_4,DutyCycle_Hist_5,DutyCycle_Hist_6,DutyCycle_Hist_7,DutyCycle_Hist_8,DutyCycle_Hist_9
1737354671.365,1.0936,1.0258,110.00,False,1.0290,1.0290,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.369,1.0936,1.0258,110.00,False,1.0290,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.371,1.0871,1.0258,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.377,1.0871,1.0258,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.386,1.0871,1.0258,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.394,1.0871,1.0258,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.397,1.0871,1.0258,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.406,1.0871,1.0258,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.413,1.0871,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,116.00
1737354671.416,1.0871,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,116.00,116.00
1737354671.422,1.0871,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,116.00,116.00,116.00
1737354671.424,1.0871,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,116.00,116.00,116.00,116.00
1737354671.436,1.0871,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,116.00,116.00,116.00,116.00,116.00
1737354671.445,1.0871,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,116.00,116.00,116.00,116.00,116.00,116.00
1737354671.456,1.0871,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
1737354671.460,1.0871,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
1737354671.467,1.0871,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
1737354671.473,1.0871,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
1737354671.478,1.0839,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
1737354671.483,1.0839,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
1737354671.490,1.0839,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
1737354671.496,1.0839,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
1737354671.505,1.0839,1.0290,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
1737354671.516,1.0839,1.0290,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
1737354671.523,1.0839,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,1.0258,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
1737354671.533,1.0839,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,1.0258,1.0258,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
1737354671.541,1.0839,1.0258,116.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,1.0258,1.0258,1.0258,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00,116.00
